Date,"Previous Date",Keyword,Labels,Position,"Position Change",URL,"Prev. Position","Citation Rank","Top AIO Source","Set Target URL","Target URL Status","Best Position",Page,"Page Change","SERP Features","AI Brand Mentions",Citations,"Search Intent","Previous Search Intent","Keyword Difficulty","Search Volume","Search Volume YoY change",Impressions,Clicks
2026-06-22,2026-06-15,brandwide,Branded,1,0,https://meetbrandwide.com/,1,-,-,-,"not set",1,1,0,"Organic,Single image thumbnails,Reviews,Knowledge panel,Sitelinks,Images,Videos",,,Commercial,Commercial,39,70,-22%,154,46
2026-06-22,2026-06-15,"franchise software","Close Variants",1,13,https://meetbrandwide.com/,14,3,https://meetbrandwide.com/,-,"not set",1,1,1,"Organic,Discussions & Forums,AI Overviews,Reviews,People also ask,Images,Videos",,https://meetbrandwide.com/,Commercial,Commercial,34,140,-71%,1462,2
2026-06-22,2026-06-15,"best franchise management software",-,1,5,https://meetbrandwide.com/,6,2,https://meetbrandwide.com/,-,"not set",1,1,0,"Organic,Discussions & Forums,AI Overviews,Reviews,Videos",,https://meetbrandwide.com/,Commercial,Commercial,38,20,0%,485,0
2026-06-22,2026-06-15,"franchising software","Close Variants",1,3,https://meetbrandwide.com/,4,2,https://meetbrandwide.com/,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,People also ask,Videos",,https://meetbrandwide.com/,Commercial,Commercial,32,140,-71%,251,0
2026-06-22,2026-06-15,"software for franchise management",-,1,0,https://meetbrandwide.com/,1,-,-,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,Videos",https://meetbrandwide.com/,,Commercial,Commercial,27,260,-56%,446,0
2026-06-22,2026-06-15,"franchise management app",-,1,0,https://meetbrandwide.com/,1,-,-,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,Videos",,,Commercial,Commercial,29,10,0%,268,0
2026-06-22,2026-06-15,"software franchise","Close Variants",1,18,https://meetbrandwide.com/,19,3,https://meetbrandwide.com/,-,"not set",1,1,1,"Organic,AI Overviews,Reviews,Videos",,https://meetbrandwide.com/,Commercial,Commercial,30,140,-71%,102,0
2026-06-22,2026-06-15,"franchisor software",-,2,0,https://meetbrandwide.com/,2,-,-,-,"not set",2,1,0,"Organic,AI Overviews,Reviews,People also ask,Videos",,,Commercial,Commercial,28,10,0%,199,0
2026-06-22,2026-06-15,"franchise management software","Close Variants",2,0,https://meetbrandwide.com/,2,-,-,-,"not set",1,1,0,"Organic,Reviews,Videos",,,Commercial,Commercial,38,260,-56%,1648,6
2026-06-22,2026-06-15,"franchisor management software","Close Variants",2,1,https://meetbrandwide.com/,3,-,-,-,"not set",2,1,0,"Organic,AI Overviews,Reviews,Videos",,,Commercial,Commercial,29,260,-56%,194,0
2026-06-22,2026-06-15,"franchise management solutions","Close Variants",3,0,https://meetbrandwide.com/,3,-,-,-,"not set",1,1,0,"Organic,Discussions & Forums,AI Overviews,Reviews,Videos",,,Commercial,Commercial,32,10,0%,116,0
2026-06-22,2026-06-15,"franchise management","Close Variants",3,19,https://meetbrandwide.com/,22,-,-,-,"not set",1,1,2,"Organic,AI Overviews,People also ask,Videos",,,Navigational,Navigational,33,170,-47%,693,0
2026-06-22,2026-06-15,"franchise management systems","Close Variants",4,-3,https://meetbrandwide.com/,1,-,-,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,People also ask,Videos",,,"Commercial,Informational",Commercial,28,50,-64%,156,0
2026-06-22,2026-06-15,"franchise management system","Close Variants",5,-4,https://meetbrandwide.com/,1,-,-,-,"not set",1,1,0,"Organic,Discussions & Forums,AI Overviews,Reviews,People also ask,Images,Videos",,,"Commercial,Informational",Commercial,29,50,-64%,887,2
2026-06-22,2026-06-15,"franchise management company","Close Variants",5,0,https://meetbrandwide.com/blog/what-is-franchise-management/,5,-,-,-,"not set",3,1,0,"Organic,AI Overviews,People also ask,Videos,Local pack",,,"Informational,Navigational","Informational,Navigational",30,30,-25%,50,0
2026-06-22,2026-06-15,"franchise royalty management",-,5,-1,https://meetbrandwide.com/franchise-royalty-management/,4,-,-,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,People also ask,Videos",,,Commercial,"Commercial,Informational",26,10,0%,134,0
2026-06-22,2026-06-15,"franchise lead management software","Close Variants",6,-2,https://meetbrandwide.com/,4,-,-,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,Videos",,,Commercial,Commercial,27,10,-86%,75,0
2026-06-22,2026-06-15,"franchise solution",-,6,1,https://meetbrandwide.com/blog/franchise-solutions-can-take-five-steps-for-the-further-betterment/,7,-,-,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,Videos",,,Navigational,Navigational,28,50,-29%,180,0
2026-06-22,2026-06-15,"franchise soft",-,6,1,https://meetbrandwide.com/,7,-,-,-,"not set",6,1,0,"Organic,Reviews,Knowledge panel,People also ask,Sitelinks,Images,Videos",,,Navigational,Navigational,32,110,0%,63,0
2026-06-22,2026-06-15,"franchise software systems",-,7,-1,https://meetbrandwide.com/,6,-,-,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,People also ask,Videos",,,Commercial,Commercial,29,10,-50%,494,0
2026-06-22,2026-06-15,"franchise development software",-,9,12,https://meetbrandwide.com/,21,-,-,-,"not set",4,1,1,"Organic,AI Overviews,Reviews,People also ask,Images,Videos",,,Commercial,Commercial,25,10,0%,160,0
