Date,"Previous Date",Keyword,Labels,Position,"Position Change",URL,"Prev. Position","Citation Rank","Top AIO Source","Set Target URL","Target URL Status","Best Position",Page,"Page Change","SERP Features","AI Brand Mentions",Citations,"Search Intent","Previous Search Intent","Keyword Difficulty","Search Volume","Search Volume YoY change",Impressions,Clicks
2026-08-24,2026-08-17,brandwide,Branded,1,0,https://meetbrandwide.com/,1,-,-,-,"not set",1,1,0,"Organic,Reviews,Knowledge panel,People also ask,Sitelinks,Videos",,,Commercial,Commercial,39,70,-22%,154,46
2026-08-24,2026-08-17,"franchise software","Close Variants",1,9,https://meetbrandwide.com/,10,3,-,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,People also ask,Ads Bottom,Videos",https://meetbrandwide.com/,https://meetbrandwide.com/,Commercial,Commercial,34,140,-71%,1462,2
2026-08-24,2026-08-17,"franchise management software","Close Variants",1,1,https://meetbrandwide.com/,2,2,https://meetbrandwide.com/,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,People also ask,Videos",https://meetbrandwide.com/,https://meetbrandwide.com/,Commercial,Commercial,38,260,-56%,1648,6
2026-08-24,2026-08-17,"best franchise management software",-,1,5,https://meetbrandwide.com/,6,2,https://meetbrandwide.com/,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,People also ask,Videos",https://meetbrandwide.com/,https://meetbrandwide.com/,Commercial,Commercial,38,20,0%,485,0
2026-08-24,2026-08-17,"franchisee management software","Close Variants",1,0,https://meetbrandwide.com/,1,2,https://meetbrandwide.com/,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,People also ask,Videos",https://meetbrandwide.com/,https://meetbrandwide.com/,Commercial,Commercial,30,10,0%,192,0
2026-08-24,2026-08-17,"franchising software","Close Variants",1,0,https://meetbrandwide.com/,1,3,-,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,People also ask,Videos",https://meetbrandwide.com/,https://meetbrandwide.com/,Commercial,Commercial,32,140,-71%,251,0
2026-08-24,2026-08-17,"software for franchise management",-,1,0,https://meetbrandwide.com/,1,2,https://meetbrandwide.com/,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,People also ask,Videos",https://meetbrandwide.com/,https://meetbrandwide.com/,Commercial,Commercial,27,260,-56%,446,0
2026-08-24,2026-08-17,"franchise management app",-,1,0,https://meetbrandwide.com/,1,-,-,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,People also ask,Videos",,,Commercial,Commercial,29,10,0%,268,0
2026-08-24,2026-08-17,"franchisee management system",-,1,8,https://meetbrandwide.com/,9,2,https://meetbrandwide.com/,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,People also ask,Ads Bottom,Videos",,https://meetbrandwide.com/,"Informational,Commercial",Commercial,28,10,0%,245,0
2026-08-24,2026-08-17,"management of franchise","Close Variants",1,0,https://meetbrandwide.com/blog/what-is-franchise-management/,1,2,https://meetbrandwide.com/blog/what-is-franchise-management/,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,People also ask,Videos",,https://meetbrandwide.com/blog/what-is-franchise-management/,"Informational,Commercial","Informational,Commercial",21,170,-47%,23,0
